checksum_http_service=LISTENING
checksum_http_port=19410
checksum_http_workers=1
checksum_http_mode=emulate
checksum_http_runtime=/Users/danielscai/Documents/workspace/navpay/navpay-phonepe/src/services/checksum/runtime
checksum_http_library=/Users/danielscai/Documents/workspace/navpay/navpay-phonepe/src/services/checksum/runtime/lib/arm64-v8a/libphonepe-cryptography-support-lib.so
WARNING: A restricted method in java.lang.System has been called
WARNING: java.lang.System::loadLibrary has been called by org.scijava.nativelib.NativeLoader in an unnamed module (file:/Users/danielscai/Documents/workspace/navpay/navpay-phonepe/src/services/checksum/target/checksum-service.jar)
WARNING: Use --enable-native-access=ALL-UNNAMED to avoid a warning for callers in this module
WARNING: Restricted methods will be blocked in a future release unless native access is enabled

[pool-1-thread-1] INFO com.github.unidbg.linux.AndroidSyscallHandler - Return default pipe pair.
checksum_perf construct_ms=0.000 execute_ms=1890.246 prepare_ms=1839.194 checksum_ms=43.758 jnmcs_ms=43.555 reused=false
checksum_perf construct_ms=0.000 execute_ms=5.746 prepare_ms=0.001 checksum_ms=5.121 jnmcs_ms=5.055 reused=true
checksum_perf construct_ms=0.000 execute_ms=3.704 prepare_ms=0.001 checksum_ms=3.189 jnmcs_ms=3.146 reused=true
checksum_perf construct_ms=0.000 execute_ms=5.703 prepare_ms=0.000 checksum_ms=5.166 jnmcs_ms=4.980 reused=true
checksum_perf construct_ms=0.000 execute_ms=7.734 prepare_ms=0.001 checksum_ms=6.652 jnmcs_ms=6.568 reused=true
checksum_perf construct_ms=0.000 execute_ms=3.664 prepare_ms=0.001 checksum_ms=3.124 jnmcs_ms=3.073 reused=true
checksum_perf construct_ms=0.000 execute_ms=3.724 prepare_ms=0.001 checksum_ms=3.277 jnmcs_ms=3.237 reused=true
checksum_perf construct_ms=0.000 execute_ms=4.516 prepare_ms=0.001 checksum_ms=3.189 jnmcs_ms=3.142 reused=true
checksum_perf construct_ms=0.000 execute_ms=4.426 prepare_ms=0.001 checksum_ms=4.008 jnmcs_ms=3.954 reused=true
checksum_perf construct_ms=0.000 execute_ms=8.200 prepare_ms=0.001 checksum_ms=7.684 jnmcs_ms=7.462 reused=true
checksum_perf construct_ms=0.000 execute_ms=5.184 prepare_ms=0.001 checksum_ms=4.736 jnmcs_ms=4.665 reused=true
checksum_perf construct_ms=0.000 execute_ms=4.587 prepare_ms=0.002 checksum_ms=3.775 jnmcs_ms=3.575 reused=true
checksum_perf construct_ms=0.000 execute_ms=7.832 prepare_ms=0.001 checksum_ms=7.442 jnmcs_ms=7.390 reused=true
checksum_perf construct_ms=0.000 execute_ms=6.625 prepare_ms=0.001 checksum_ms=6.171 jnmcs_ms=6.105 reused=true
checksum_perf construct_ms=0.000 execute_ms=3.162 prepare_ms=0.001 checksum_ms=2.731 jnmcs_ms=2.682 reused=true
checksum_perf construct_ms=0.000 execute_ms=3.799 prepare_ms=0.001 checksum_ms=2.957 jnmcs_ms=2.916 reused=true
checksum_perf construct_ms=0.000 execute_ms=3.224 prepare_ms=0.001 checksum_ms=2.847 jnmcs_ms=2.809 reused=true
checksum_perf construct_ms=0.000 execute_ms=8.671 prepare_ms=0.001 checksum_ms=7.860 jnmcs_ms=7.719 reused=true
checksum_perf construct_ms=0.000 execute_ms=4.346 prepare_ms=0.001 checksum_ms=3.155 jnmcs_ms=3.108 reused=true
checksum_perf construct_ms=0.000 execute_ms=5.142 prepare_ms=0.001 checksum_ms=3.517 jnmcs_ms=3.467 reused=true
checksum_perf construct_ms=0.000 execute_ms=3.106 prepare_ms=0.001 checksum_ms=2.753 jnmcs_ms=2.725 reused=true
checksum_perf construct_ms=0.000 execute_ms=6.622 prepare_ms=0.001 checksum_ms=6.121 jnmcs_ms=6.019 reused=true
checksum_perf construct_ms=0.000 execute_ms=5.869 prepare_ms=0.002 checksum_ms=4.805 jnmcs_ms=4.732 reused=true
checksum_perf construct_ms=0.000 execute_ms=3.601 prepare_ms=0.001 checksum_ms=3.245 jnmcs_ms=3.205 reused=true
checksum_perf construct_ms=0.000 execute_ms=5.326 prepare_ms=0.001 checksum_ms=5.014 jnmcs_ms=4.972 reused=true
checksum_perf construct_ms=0.000 execute_ms=3.847 prepare_ms=0.001 checksum_ms=3.009 jnmcs_ms=2.966 reused=true
checksum_perf construct_ms=0.000 execute_ms=4.840 prepare_ms=0.001 checksum_ms=4.496 jnmcs_ms=4.461 reused=true
checksum_perf construct_ms=0.000 execute_ms=3.034 prepare_ms=0.001 checksum_ms=2.509 jnmcs_ms=2.482 reused=true
