checksum_http_service=LISTENING
checksum_http_port=19411
checksum_http_workers=1
checksum_http_mode=emulate
checksum_http_runtime=/Users/danielscai/Documents/workspace/navpay/navpay-phonepe/src/services/checksum/runtime
checksum_http_library=/Users/danielscai/Documents/workspace/navpay/navpay-phonepe/src/services/checksum/runtime/lib/arm64-v8a/libphonepe-cryptography-support-lib.so
WARNING: A restricted method in java.lang.System has been called
WARNING: java.lang.System::loadLibrary has been called by org.scijava.nativelib.NativeLoader in an unnamed module (file:/Users/danielscai/Documents/workspace/navpay/navpay-phonepe/src/services/checksum/target/checksum-service.jar)
WARNING: Use --enable-native-access=ALL-UNNAMED to avoid a warning for callers in this module
WARNING: Restricted methods will be blocked in a future release unless native access is enabled

[pool-1-thread-1] INFO com.github.unidbg.linux.AndroidSyscallHandler - Return default pipe pair.
checksum_perf construct_ms=0.000 execute_ms=4.974 prepare_ms=0.001 checksum_ms=4.083 jnmcs_ms=4.005 reused=true
checksum_perf construct_ms=0.000 execute_ms=2.971 prepare_ms=0.001 checksum_ms=2.666 jnmcs_ms=2.640 reused=true
checksum_perf construct_ms=0.000 execute_ms=3.106 prepare_ms=0.000 checksum_ms=2.814 jnmcs_ms=2.788 reused=true
checksum_perf construct_ms=0.000 execute_ms=5.320 prepare_ms=0.001 checksum_ms=5.043 jnmcs_ms=5.000 reused=true
checksum_perf construct_ms=0.000 execute_ms=7.791 prepare_ms=0.001 checksum_ms=7.344 jnmcs_ms=7.300 reused=true
checksum_perf construct_ms=0.000 execute_ms=4.859 prepare_ms=0.001 checksum_ms=4.539 jnmcs_ms=4.508 reused=true
checksum_perf construct_ms=0.000 execute_ms=5.497 prepare_ms=0.001 checksum_ms=5.223 jnmcs_ms=5.171 reused=true
checksum_perf construct_ms=0.000 execute_ms=3.633 prepare_ms=0.001 checksum_ms=3.240 jnmcs_ms=3.208 reused=true
checksum_perf construct_ms=0.000 execute_ms=3.535 prepare_ms=0.001 checksum_ms=2.625 jnmcs_ms=2.593 reused=true
checksum_perf construct_ms=0.000 execute_ms=6.517 prepare_ms=0.001 checksum_ms=4.777 jnmcs_ms=4.733 reused=true
checksum_perf construct_ms=0.000 execute_ms=2.888 prepare_ms=0.001 checksum_ms=2.612 jnmcs_ms=2.592 reused=true
checksum_perf construct_ms=0.000 execute_ms=3.356 prepare_ms=0.001 checksum_ms=2.646 jnmcs_ms=2.610 reused=true
checksum_perf construct_ms=0.000 execute_ms=2.607 prepare_ms=0.001 checksum_ms=2.331 jnmcs_ms=2.310 reused=true
checksum_perf construct_ms=0.000 execute_ms=5.490 prepare_ms=0.001 checksum_ms=4.881 jnmcs_ms=4.844 reused=true
checksum_perf construct_ms=0.000 execute_ms=5.178 prepare_ms=0.001 checksum_ms=3.727 jnmcs_ms=3.693 reused=true
checksum_perf construct_ms=0.000 execute_ms=4.263 prepare_ms=0.001 checksum_ms=3.947 jnmcs_ms=3.911 reused=true
